date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-24,Đồng Tháp,52697,77735,83212,"32041, 95979","96310, 05645, 01392, 76456, 54703, 47720, 60463",1536,"6980, 0382, 9799",834,21
2008-01-25,An Giang,26821,25277,03300,"80761, 43923","25942, 84195, 58977, 64793, 34484, 89696, 61657",7519,"0940, 7346, 9342",996,15
2008-01-25,Bình Thuận,19151,65142,60691,"07668, 98948","97490, 71300, 79961, 79607, 80752, 03679, 43176",0905,"1326, 6306, 5216",170,61
2008-01-25,Bến Tre,81431,33715,23559,"40211, 73777","20150, 78957, 06549, 27335, 95287, 96600, 36560",6933,"4467, 4206, 8717",196,98
2008-01-25,Tiền Giang,69689,57624,48946,"03576, 61707","39995, 17233, 00734, 91316, 38085, 76749, 55022",4793,"7434, 0458, 5703",104,98
2008-01-25,Trà Vinh,67048,26737,73127,"44204, 34279","20198, 95450, 28177, 74134, 51214, 79392, 89738",6701,"1981, 6908, 6172",150,50
2008-01-25,Vĩnh Long,45182,47478,32627,"35893, 99478","24162, 75976, 21220, 50704, 05398, 62073, 69781",0601,"9611, 9115, 8400",819,29
2008-01-26,Bình Phước,80044,44834,35579,"81330, 76086","22233, 74049, 61603, 77974, 19447, 98729, 31317",0886,"2980, 2823, 3768",187,44
2008-01-26,Bến Tre,81431,33715,23559,"40211, 73777","20150, 78957, 06549, 27335, 95287, 96600, 36560",6933,"4467, 4206, 8717",196,98
2008-01-26,Hồ Chí Minh,907962,99165,29679,"98659, 38707","07690, 82596, 04424, 45963, 54341, 91006, 02336",8522,"6155, 5125, 8260",728,74
2008-01-26,Long An,12236,23286,95302,"61537, 23302","71513, 78540, 99944, 98961, 52470, 57362, 15212",3630,"7731, 3784, 0156",546,08
2008-01-26,Trà Vinh,67048,26737,73127,"44204, 34279","20198, 95450, 28177, 74134, 51214, 79392, 89738",6701,"1981, 6908, 6172",150,50
2008-01-26,Vĩnh Long,45182,47478,32627,"35893, 99478","24162, 75976, 21220, 50704, 05398, 62073, 69781",0601,"9611, 9115, 8400",819,29
2008-01-27,27/01/2008,694969,48124,61550,"55777, 44725","14945, 59121, 80613, 67265, 25771, 13773, 00795",5638,"1064, 0335, 7848",917,00
2008-01-27,Bình Phước,80044,44834,35579,"81330, 76086","22233, 74049, 61603, 77974, 19447, 98729, 31317",0886,"2980, 2823, 3768",187,44
2008-01-27,Hồ Chí Minh,907962,99165,29679,"98659, 38707","07690, 82596, 04424, 45963, 54341, 91006, 02336",8522,"6155, 5125, 8260",728,74
2008-01-27,Long An,12236,23286,95302,"61537, 23302","71513, 78540, 99944, 98961, 52470, 57362, 15212",3630,"7731, 3784, 0156",546,08
2008-01-27,Tiền Giang,38552,06917,91986,"24812, 88928","57684, 23192, 66784, 33702, 49693, 41704, 27419",5890,"2503, 4653, 8026",160,42
2008-01-27,Đồng Tháp,29228,56427,66207,"01180, 06667","71982, 90982, 84903, 48295, 16997, 44753, 04822",2489,"8751, 1534, 0879",677,73
2008-01-28,27/01/2008,694969,48124,61550,"55777, 44725","14945, 59121, 80613, 67265, 25771, 13773, 00795",5638,"1064, 0335, 7848",917,00
2008-01-28,Cà Mau,00397,20353,57465,"17721, 26474","71241, 14627, 45966, 70922, 01158, 40409, 76700",2256,"6741, 6934, 9447",633,75
2008-01-28,Hồ Chí Minh,28579,76783,11133,"75973, 46705","78733, 63262, 31351, 91466, 97258, 60828, 61061",3371,"3585, 3565, 6936",265,09
2008-01-28,Tiền Giang,38552,06917,91986,"24812, 88928","57684, 23192, 66784, 33702, 49693, 41704, 27419",5890,"2503, 4653, 8026",160,42
2008-01-28,Đồng Tháp,29228,56427,66207,"01180, 06667","71982, 90982, 84903, 48295, 16997, 44753, 04822",2489,"8751, 1534, 0879",677,73
2008-01-29,Bến Tre,399507,78019,52482,"19947, 30583","89946, 08334, 11158, 33177, 34975, 83956, 14988",0146,"4916, 0717, 9051",320,75
2008-01-29,Cà Mau,00397,20353,57465,"17721, 26474","71241, 14627, 45966, 70922, 01158, 40409, 76700",2256,"6741, 6934, 9447",633,75
2008-01-29,Hồ Chí Minh,28579,76783,11133,"75973, 46705","78733, 63262, 31351, 91466, 97258, 60828, 61061",3371,"3585, 3565, 6936",265,09
2008-01-29,Vũng Tàu,444259,81005,14382,"00732, 89916","98571, 55621, 38200, 46181, 13070, 82587, 37352",6807,"1173, 0237, 0329",596,72
2008-01-29,Đồng Tháp,949967,56496,94200,"32914, 35617","06934, 25744, 40503, 32251, 57407, 37502, 30414",9241,"7417, 7582, 0049",851,71
2008-01-30,Bến Tre,399507,78019,52482,"19947, 30583","89946, 08334, 11158, 33177, 34975, 83956, 14988",0146,"4916, 0717, 9051",320,75
2008-01-30,Cần Thơ,473751,19093,25137,"32968, 96511","85037, 27422, 47104, 55372, 13484, 60119, 26866",5240,"1907, 4756, 4218",383,46
2008-01-30,Sóc Trăng,207541,18525,78236,"80445, 02520","89307, 71925, 39693, 90760, 66622, 55753, 56858",7953,"4389, 7338, 1591",633,55
2008-01-30,Vũng Tàu,444259,81005,14382,"00732, 89916","98571, 55621, 38200, 46181, 13070, 82587, 37352",6807,"1173, 0237, 0329",596,72
2008-01-30,Đồng Tháp,126347,28644,32976,"46342, 68311","64254, 75164, 93422, 57290, 92677, 45462, 44153",1766,"2345, 8881, 6478",477,96
2008-01-31,An Giang,124131,45551,62122,"63254, 63907","37589, 51823, 05653, 57105, 03364, 77428, 57155",0909,"3868, 6557, 1714",417,14
2008-01-31,Bình Thuận,194321,32161,03426,"31729, 23854","38579, 95632, 67137, 72456, 84187, 83255, 89956",8294,"2229, 4303, 8675",193,85
2008-01-31,Cần Thơ,473751,19093,25137,"32968, 96511","85037, 27422, 47104, 55372, 13484, 60119, 26866",5240,"1907, 4756, 4218",383,46
2008-01-31,Sóc Trăng,207541,18525,78236,"80445, 02520","89307, 71925, 39693, 90760, 66622, 55753, 56858",7953,"4389, 7338, 1591",633,55
2008-01-31,Tiền Giang,06086,09395,20078,"20231, 24468","96000, 99758, 52744, 77490, 75569, 68884, 21022",8892,"8752, 3606, 9536",462,93
2008-01-31,Đồng Tháp,126347,28644,32976,"46342, 68311","64254, 75164, 93422, 57290, 92677, 45462, 44153",1766,"2345, 8881, 6478",477,96
